timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
110,81.9,3353,68.6,86.9,194.09,0.739,62.2,0.92,273.3,9.73,Car_0002
115,83.6,3452,72.2,88.7,225.14,0.6,48.2,0.75,222.5,8.37,Car_0002
120,65.6,2719,48.5,88.3,217.87,0.628,52.1,0.86,156.3,8.33,Car_0002
125,68.8,2961,60.8,84.7,201.07,0.567,114.5,0.23,215.2,8.91,Car_0002
130,72.6,2927,61.4,82.9,185.29,0.352,76.4,0.17,173.5,8.7,Car_0002
135,72.6,2937,65.0,90.4,182.33,0.816,45.0,0.55,219.3,8.55,Car_0002
140,76.7,3187,62.9,88.0,187.3,0.439,42.5,1.0,171.5,9.06,Car_0002
145,83.9,3294,70.3,86.3,192.1,0.31,108.9,0.63,231.0,8.94,Car_0002
150,78.2,3167,69.7,83.1,209.42,0.632,80.8,0.68,203.8,8.9,Car_0002
155,66.5,2622,54.0,87.9,187.33,0.794,105.9,1.22,245.5,8.35,Car_0002
160,80.4,3144,53.6,87.0,182.85,0.478,30.3,1.07,196.7,8.38,Car_0002
165,66.6,2716,51.3,82.9,171.09,0.465,73.2,1.06,120.5,8.0,Car_0002
170,68.7,2894,57.0,88.4,220.74,0.535,90.6,0.58,191.4,8.3,Car_0002
175,92.8,3470,76.7,85.9,184.74,0.704,80.3,0.84,186.8,9.46,Car_0002
180,68.2,2807,61.0,90.1,181.48,0.68,78.3,1.11,198.0,9.12,Car_0002
185,87.8,3335,71.5,83.7,194.16,0.244,46.5,1.11,224.8,9.3,Car_0002
190,68.1,2738,55.8,90.1,193.52,0.566,103.6,0.91,198.5,8.48,Car_0002
195,73.6,3166,60.8,83.8,204.76,0.743,70.6,1.02,248.6,6.78,Car_0002
200,61.2,2675,46.3,91.1,196.94,0.461,81.2,0.69,163.5,8.1,Car_0002
205,82.8,3128,70.2,84.7,195.63,0.451,82.9,0.48,203.5,8.63,Car_0002
210,61.2,2677,36.9,84.9,169.73,0.486,73.3,1.05,181.1,7.93,Car_0002
215,83.2,3249,69.2,90.4,204.88,0.993,89.2,0.64,251.3,9.23,Car_0002
220,71.8,3007,59.4,87.6,194.23,0.521,113.8,0.94,147.0,8.5,Car_0002
225,71.3,2969,60.6,87.2,168.07,0.239,108.0,0.79,252.5,8.64,Car_0002
230,69.1,2703,60.1,87.7,218.48,0.51,81.5,0.26,165.8,8.43,Car_0002
235,70.2,2818,65.6,91.0,176.77,0.598,71.4,1.25,203.4,8.64,Car_0002
240,65.2,2887,52.8,91.8,209.52,0.384,90.5,0.87,187.4,8.55,Car_0002
245,72.1,2964,56.9,84.0,194.67,0.57,101.5,0.39,203.3,9.2,Car_0002
250,66.4,2688,50.7,88.6,173.15,0.507,66.6,0.63,177.3,8.03,Car_0002
255,68.5,2850,58.4,84.9,200.01,0.446,70.9,0.81,126.4,7.87,Car_0002
260,65.7,2668,53.6,84.1,178.37,0.721,121.6,1.1,200.9,8.75,Car_0002
265,73.1,2967,61.5,85.3,160.46,0.389,63.4,0.95,179.7,7.54,Car_0002
270,69.9,2926,62.1,87.4,229.19,0.387,106.3,1.08,172.1,8.27,Car_0002
275,63.7,2699,50.9,85.0,192.12,0.297,102.5,1.06,162.2,8.56,Car_0002
280,60.8,2446,52.3,88.0,179.84,0.617,119.2,1.7,146.6,8.19,Car_0002
285,58.9,2850,46.9,89.0,194.37,0.273,75.9,0.39,169.4,7.83,Car_0002
290,70.1,2674,58.1,94.1,177.8,0.606,71.5,0,149.3,7.99,Car_0002
295,74.6,3033,61.0,88.5,195.8,0.522,93.4,0.39,192.9,9.11,Car_0002
300,50.2,2226,42.6,87.2,184.79,0.549,62.3,1.09,182.0,8.58,Car_0002
305,73.6,3062,68.4,84.1,189.61,0.242,97.4,1.3,182.6,7.84,Car_0002
310,75.3,2985,60.2,91.2,188.25,0.514,112.2,0.98,156.9,9.26,Car_0002
315,51.9,2456,45.7,85.0,179.3,0.256,114.6,0.84,156.6,8.02,Car_0002
320,74.9,3079,65.9,89.5,194.98,0.643,77.7,0.5,152.0,8.72,Car_0002
325,59.1,2571,48.0,89.5,195.76,0.551,74.3,0.76,172.1,8.1,Car_0002
330,50.5,2313,43.9,87.8,174.1,0.385,72.4,0.64,128.4,7.14,Car_0002
335,63.9,2755,54.0,84.1,198.25,0.48,70.1,0.52,171.5,8.49,Car_0002
340,61.9,2643,46.5,95.1,157.94,0.077,69.5,0.86,259.0,8.32,Car_0002
345,65.2,2849,54.9,80.9,196.77,0.568,123.4,0.58,245.3,7.49,Car_0002
350,74.6,3052,66.4,88.9,204.13,0.602,66.9,0.75,171.1,8.43,Car_0002
355,49.0,2288,45.8,90.4,209.85,0.509,76.9,0.72,192.0,7.99,Car_0002
360,64.2,2590,60.4,88.2,206.51,0.562,74.8,1.38,143.5,7.29,Car_0002
365,77.0,3133,62.0,85.1,164.28,0.933,94.1,0.95,237.4,8.11,Car_0002
370,64.2,2835,42.5,88.6,204.08,0.483,62.3,0.75,176.2,8.32,Car_0002
375,55.9,2553,44.0,85.3,208.99,0.438,90.6,0.41,245.9,7.14,Car_0002
380,60.5,2593,46.6,86.1,210.19,0.831,75.3,0.69,111.3,8.88,Car_0002
385,50.8,2234,42.9,89.1,212.72,0.899,95.1,0.66,148.2,7.61,Car_0002
390,65.4,2858,57.6,81.3,184.5,0.829,69.3,0.78,304.3,8.14,Car_0002
395,70.0,3084,62.2,85.7,159.92,0.389,92.9,0.98,249.7,7.78,Car_0002
400,59.9,2392,45.5,88.6,157.93,0.641,116.6,0.37,169.4,8.86,Car_0002
405,62.0,2699,52.2,82.9,190.14,0.768,81.7,1.02,175.5,7.63,Car_0002
410,54.2,2322,38.4,87.0,186.88,0.254,93.9,0.52,194.4,8.06,Car_0002
415,70.7,2956,62.9,87.3,172.37,0.736,113.6,0.76,282.3,8.82,Car_0002
420,73.2,2977,56.6,87.3,182.69,0.573,75.2,0.85,195.6,7.95,Car_0002
425,52.7,2507,43.6,83.1,160.98,0.404,85.6,0.45,112.1,8.04,Car_0002
430,82.3,3355,63.6,86.8,193.69,0.314,51.9,0.76,243.4,8.87,Car_0002
435,51.1,2382,45.2,84.2,172.34,0.605,102.7,0.92,226.6,8.44,Car_0002
440,44.1,2171,43.4,90.6,210.97,0.349,93.6,1.03,148.4,7.57,Car_0002
445,45.6,2082,39.6,90.4,189.1,0.755,109.8,0.51,165.3,7.27,Car_0002
450,62.7,2752,48.3,90.0,172.65,0.727,31.2,0.75,163.4,8.43,Car_0002
455,58.0,2321,41.6,85.5,208.06,0.784,93.6,1.23,147.2,8.14,Car_0002
460,57.0,2400,45.7,86.2,197.54,0.578,69.0,0.64,104.0,8.15,Car_0002
465,55.1,2449,48.6,85.8,176.49,0.373,73.1,0.87,157.4,7.62,Car_0002
470,45.2,2116,29.0,85.4,197.38,0.429,76.9,0.73,206.5,6.92,Car_0002
475,59.4,2511,50.9,86.9,183.11,0.567,67.1,0.44,164.4,7.35,Car_0002
480,57.1,2451,41.2,88.5,196.98,0.419,74.2,1.07,170.9,8.03,Car_0002
485,46.9,2262,38.4,89.0,185.91,0.291,56.0,0.74,157.0,6.91,Car_0002
490,66.1,2884,44.9,81.0,170.33,0.506,133.6,0.45,183.4,8.87,Car_0002
495,52.2,2477,48.2,87.4,204.32,0.678,51.9,0.75,157.4,7.75,Car_0002
500,46.6,2097,39.1,87.5,209.97,0.488,108.6,1.19,215.4,5.79,Car_0002
505,50.3,2354,35.3,85.9,200.5,0.436,73.0,1.32,161.6,8.23,Car_0002
510,56.2,2496,45.1,85.0,187.86,0.202,92.2,0.83,165.6,8.27,Car_0002
515,48.5,2057,42.5,83.4,168.06,0.495,99.3,0.57,132.9,8.37,Car_0002
520,45.7,2257,40.3,85.4,187.94,0.28,66.7,0.75,147.0,6.7,Car_0002
525,63.0,2629,56.5,87.2,234.04,0.644,53.1,0.39,151.8,7.89,Car_0002
530,44.3,2017,37.0,83.0,187.29,0.482,59.9,0.98,170.6,8.02,Car_0002
535,63.2,2673,51.8,89.1,197.73,0.17,98.5,0.63,234.5,8.19,Car_0002
540,53.0,2388,51.3,85.5,165.0,0.455,105.2,1.28,220.9,6.71,Car_0002
545,56.6,2449,46.3,84.4,186.82,0.245,126.4,0.82,160.9,7.27,Car_0002
550,66.5,2852,61.2,88.8,185.93,0.41,64.7,0.68,222.5,7.94,Car_0002
555,61.5,2719,48.9,90.7,198.6,0.571,79.5,0.85,156.2,7.63,Car_0002
560,61.6,2736,50.2,89.3,188.92,0.344,80.2,0.92,163.6,7.76,Car_0002
565,56.0,2498,39.3,88.6,195.12,0.488,68.8,0.88,139.1,7.49,Car_0002
570,66.8,2670,52.4,86.1,201.8,0.224,68.2,0.47,255.2,8.09,Car_0002
575,56.6,2510,51.5,81.7,175.04,0.551,67.4,0.37,155.3,7.97,Car_0002
580,63.8,2911,45.0,83.5,175.14,0.67,62.1,0.34,229.5,7.76,Car_0002
585,70.6,2939,55.5,90.6,205.63,0.828,71.7,0.7,256.9,8.91,Car_0002
590,64.2,2640,48.3,83.7,177.04,0.45,56.2,1.02,84.9,7.74,Car_0002
595,57.2,2575,50.3,84.3,195.01,0.293,85.8,0.43,191.0,8.64,Car_0002
600,79.4,3290,61.0,86.4,181.15,0.433,45.0,0.61,254.4,9.76,Car_0002
605,67.0,2831,59.2,83.3,180.17,0.707,75.3,0.69,228.5,7.28,Car_0002
610,73.4,2920,64.0,88.1,204.23,0.768,59.8,1.05,217.6,9.16,Car_0002
615,60.3,2728,53.9,86.7,207.36,0.445,98.3,0.77,195.3,8.04,Car_0002
620,73.2,2986,63.9,89.9,180.74,0.754,109.5,0.95,215.8,8.01,Car_0002
625,75.9,2922,63.9,92.8,182.98,0.677,65.5,1.0,140.8,8.32,Car_0002
630,60.9,2638,42.3,92.7,196.54,0.364,109.8,0.79,198.2,8.18,Car_0002
635,79.3,3193,60.7,88.4,200.96,0.548,67.0,0.56,138.6,8.88,Car_0002
640,60.4,2546,52.9,91.4,175.9,0.444,72.1,0.95,143.3,7.61,Car_0002
645,70.9,2866,53.9,88.2,179.29,0.465,105.7,0.75,190.1,8.13,Car_0002
650,55.9,2493,51.6,92.0,233.97,0.449,84.0,0.47,257.2,8.36,Car_0002
655,76.2,3145,62.8,80.7,213.18,0.698,85.2,0.55,239.5,8.69,Car_0002
660,70.6,2807,53.2,88.0,191.14,0.308,114.7,0.67,191.0,8.48,Car_0002
665,81.2,3159,66.8,84.5,210.23,0.669,83.2,0.89,277.9,8.65,Car_0002
670,65.3,2699,59.5,90.1,199.4,0.418,90.9,0.98,194.2,8.11,Car_0002
675,74.2,3064,59.4,87.4,168.29,0.666,77.8,1.26,130.8,8.56,Car_0002
680,75.6,2997,65.4,89.2,201.63,0.53,16.5,0.82,203.7,8.15,Car_0002
685,60.6,2671,52.5,93.2,179.96,0.75,80.3,0.65,209.0,8.46,Car_0002
690,67.5,2980,56.3,84.8,176.52,0.746,68.9,0.83,203.6,8.19,Car_0002
695,79.9,3148,61.0,81.6,192.66,0.502,104.8,0.59,245.9,8.52,Car_0002
700,86.2,3289,69.8,90.5,212.97,0.768,53.3,1.13,209.3,8.06,Car_0002
705,68.3,2815,53.0,92.4,200.83,0.743,62.4,0.3,211.9,8.3,Car_0002
710,80.1,3268,67.5,91.0,196.19,0.629,119.6,1.19,166.9,7.88,Car_0002
715,84.4,3287,69.6,87.1,200.04,0.515,56.2,0.26,113.9,8.28,Car_0002
720,83.6,3214,69.6,92.0,214.48,0.487,94.2,0.69,129.6,9.27,Car_0002
725,75.0,2962,63.5,89.6,196.01,0.374,76.5,0.89,228.9,8.39,Car_0002
730,65.7,2813,60.9,86.9,200.35,0.764,101.2,1.2,205.1,8.89,Car_0002
735,85.5,3280,72.8,89.4,184.83,0.548,39.8,1.01,243.3,9.42,Car_0002
740,85.7,3309,70.6,93.3,211.44,0.455,32.8,0.73,167.6,8.89,Car_0002
745,82.8,3140,70.4,85.1,231.64,0.612,89.5,0.49,119.4,8.28,Car_0002
750,67.6,2945,50.6,91.2,199.75,0.481,30.3,0.64,237.0,8.52,Car_0002
755,76.6,2954,64.5,89.5,186.18,0.659,65.8,0.2,172.7,8.21,Car_0002
760,85.3,3431,70.8,87.2,204.23,0.903,60.7,0.61,260.4,9.08,Car_0002
765,72.2,3080,62.9,86.0,198.22,0.563,113.1,0.98,222.0,8.47,Car_0002
770,79.9,3058,59.3,90.0,199.99,0.466,40.0,0.47,223.4,8.73,Car_0002
775,70.7,2827,60.2,88.4,190.45,0.45,83.0,0.88,169.2,9.19,Car_0002
780,71.2,2951,51.5,85.9,207.26,0.653,84.3,0.6,212.5,7.88,Car_0002
785,84.4,3070,68.4,86.5,213.47,0.552,104.7,1.23,220.5,8.0,Car_0002
790,69.8,2845,60.2,90.1,172.98,0.708,59.7,0.69,205.1,8.26,Car_0002
795,88.4,3565,67.1,85.6,213.77,0.608,92.6,0.81,268.1,9.33,Car_0002
800,82.1,3194,71.4,84.2,191.06,0.48,64.5,0.52,126.2,9.35,Car_0002
805,74.0,3001,64.2,92.2,213.76,0.485,83.8,0.53,229.3,8.48,Car_0002
810,82.9,3368,73.0,90.7,196.85,0.366,86.6,1.31,194.9,8.42,Car_0002
815,80.4,3379,61.8,81.8,186.37,0.579,77.1,0.72,192.5,8.36,Car_0002
820,68.7,2896,60.1,84.3,216.91,0.639,91.1,0.72,206.7,7.73,Car_0002
825,87.8,3574,71.9,85.2,191.98,0.728,72.1,0.56,225.6,8.49,Car_0002
830,85.6,3462,74.6,87.0,199.11,0.845,38.1,0.86,271.6,9.76,Car_0002
835,67.1,2839,61.1,92.8,165.3,0.154,83.1,0.95,189.7,8.07,Car_0002
840,84.6,3487,67.6,89.7,178.78,0.935,51.9,0.48,180.6,8.3,Car_0002
845,84.4,3563,71.6,88.2,207.34,0.427,106.8,0.79,235.6,8.47,Car_0002
850,72.2,2804,60.3,91.9,164.95,0.35,70.5,0.71,189.9,8.39,Car_0002
855,75.8,3071,54.8,90.2,212.11,0.576,44.5,0.87,221.4,8.03,Car_0002
860,73.8,3142,69.6,89.7,202.02,0.565,71.8,1.22,243.2,8.77,Car_0002
865,68.7,3006,62.4,85.4,210.06,0.596,85.6,0.19,141.7,8.78,Car_0002
870,66.4,2872,48.7,84.9,221.72,0.675,77.4,0.87,167.4,8.39,Car_0002
875,81.6,3205,70.4,84.3,221.75,0.803,79.4,0.7,263.3,8.47,Car_0002
880,74.7,3009,57.6,92.5,187.56,0.631,73.1,0.76,193.5,8.16,Car_0002
885,77.2,3106,68.6,91.7,212.57,0.495,93.3,0.75,202.6,8.22,Car_0002
890,67.1,2875,54.2,87.3,205.8,0.592,55.6,0.83,241.0,8.78,Car_0002
895,66.2,2673,53.3,93.5,203.22,0.058,97.2,0.13,266.4,8.63,Car_0002
900,66.8,2815,59.0,88.0,199.73,0.519,75.0,1.26,112.3,8.25,Car_0002
905,58.4,2533,45.1,97.2,183.65,0.448,67.6,1.07,164.0,7.62,Car_0002
910,84.0,3399,71.4,96.8,186.2,0.444,64.1,1.16,188.5,9.4,Car_0002
915,63.6,2525,49.0,90.4,209.21,0.755,87.3,1.01,78.4,8.25,Car_0002
920,68.4,2821,53.7,92.2,209.9,0.911,76.1,0.56,269.4,8.12,Car_0002
925,63.5,2564,55.0,91.4,204.18,0.57,90.9,0.97,206.0,8.7,Car_0002
930,73.9,3037,58.9,92.1,185.23,0.515,65.7,1.44,162.4,8.8,Car_0002
935,72.0,3048,59.8,89.9,190.99,0.005,64.7,1.21,168.9,8.47,Car_0002
940,87.2,3319,70.2,88.9,165.32,0.427,51.4,0.96,200.7,7.84,Car_0002
945,72.1,3060,58.3,92.6,202.81,0.359,85.6,0.86,168.6,7.89,Car_0002
950,68.4,3082,56.8,90.4,178.3,0.482,76.0,0.69,176.5,8.26,Car_0002
955,60.1,2727,60.4,87.5,186.88,0.639,91.7,0.57,168.1,8.3,Car_0002
960,51.0,2552,44.0,88.9,189.21,0.255,116.1,0.77,167.7,8.58,Car_0002
965,71.9,2937,62.1,88.8,187.95,0.516,85.9,1.13,277.0,7.31,Car_0002
970,81.7,3354,68.2,88.6,167.45,0.83,58.1,1.0,195.2,7.91,Car_0002
975,66.0,2829,50.3,92.5,219.93,0.6,88.6,0.58,152.7,8.0,Car_0002
980,62.8,2684,51.3,97.4,200.69,0.311,56.0,0.28,149.1,8.38,Car_0002
985,59.5,2514,52.5,91.6,196.84,0.51,79.3,0.4,110.0,7.58,Car_0002
990,55.0,2367,45.0,88.5,170.97,0.454,86.7,0.65,211.7,7.99,Car_0002
995,64.0,2682,55.4,92.0,163.17,0.741,69.8,1.0,97.1,7.92,Car_0002
