timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
175,82.0,3101,64.4,87.4,165.53,0.499,110.1,0.63,215.7,8.92,Car_0003
180,68.6,2626,47.8,85.1,199.76,0.345,79.5,1.42,189.1,8.54,Car_0003
185,72.8,2899,56.3,84.4,167.99,0.385,70.1,0.88,244.6,9.61,Car_0003
190,64.4,2761,48.8,84.1,141.61,0.839,71.5,1.09,149.9,6.98,Car_0003
195,83.6,3146,64.5,89.6,170.68,0.535,106.7,0.72,236.9,8.17,Car_0003
200,81.2,3179,68.5,83.8,157.3,0.537,98.3,0.73,213.7,8.47,Car_0003
205,80.1,3057,58.4,90.3,136.48,0.886,79.7,0.93,214.8,8.34,Car_0003
210,73.4,3206,67.3,83.9,188.24,0.352,75.6,0.84,256.6,7.76,Car_0003
215,77.4,3081,56.3,89.1,162.77,0.131,95.9,0.29,187.6,8.02,Car_0003
220,62.3,2776,55.1,81.6,164.11,0.539,107.1,0.94,144.1,7.43,Car_0003
225,73.7,3088,58.5,84.2,176.69,0.6,27.4,0.72,235.9,7.72,Car_0003
230,75.1,2927,63.7,83.6,144.02,0.613,78.0,1.26,230.8,7.71,Car_0003
235,70.4,3010,62.9,91.8,197.96,0.423,87.8,1.52,251.5,8.01,Car_0003
240,55.2,2300,49.3,85.9,162.36,0.381,62.8,0.98,175.6,8.06,Car_0003
245,53.9,2597,50.8,89.4,135.64,0.682,51.3,0.93,233.1,8.33,Car_0003
250,72.5,3158,61.2,83.8,161.48,0.56,96.8,0.48,237.9,8.4,Car_0003
255,62.6,2583,49.8,87.2,163.6,0.65,47.8,0.36,144.6,8.64,Car_0003
260,64.7,2744,56.9,88.3,159.32,0.249,72.8,0.34,188.8,7.77,Car_0003
265,67.7,2849,54.6,88.2,210.41,0.154,128.5,0.51,140.8,7.78,Car_0003
270,70.8,2945,55.9,84.6,156.94,0.648,105.1,0.72,171.0,8.17,Car_0003
275,46.0,2174,40.3,85.3,156.91,0.676,86.3,0.92,192.6,7.61,Car_0003
280,74.5,2898,61.9,79.6,161.79,0.96,54.3,0.47,193.6,8.92,Car_0003
285,69.0,2814,66.0,86.3,184.76,0.899,60.3,0.35,215.2,8.39,Car_0003
290,63.3,2726,52.3,91.1,122.08,0.766,85.2,0.76,151.9,8.73,Car_0003
295,53.3,2409,50.1,81.5,170.4,0.563,88.5,0.66,203.7,8.3,Car_0003
300,59.7,2798,44.0,84.5,185.64,0.427,61.3,0.67,253.9,8.39,Car_0003
305,54.2,2237,52.6,87.3,158.45,0.331,38.6,0.4,186.6,7.56,Car_0003
310,74.2,3119,58.9,83.8,188.56,0.47,132.9,0.83,149.4,7.45,Car_0003
315,54.7,2585,44.3,79.1,157.16,0.413,107.4,0.93,180.2,7.97,Car_0003
320,77.9,3241,61.2,88.7,186.79,1.022,85.7,0.7,222.3,8.36,Car_0003
325,60.8,2542,50.8,82.3,178.98,0.664,47.0,1.02,162.3,8.73,Car_0003
330,67.1,2922,58.9,83.5,137.06,0.572,54.5,0.86,137.9,8.63,Car_0003
335,62.7,2553,47.4,87.9,179.65,0.533,66.1,0.85,176.0,7.82,Car_0003
340,46.8,2209,34.9,86.3,134.45,0.592,68.8,0.82,233.6,8.34,Car_0003
345,62.9,2585,52.0,87.6,170.57,0.538,96.4,1.0,234.9,8.51,Car_0003
350,51.6,2315,42.9,88.0,157.81,0.462,73.4,0.64,193.7,8.17,Car_0003
355,70.9,3028,57.1,90.6,147.29,0.619,68.8,0.63,280.2,8.15,Car_0003
360,58.2,2605,48.4,82.7,171.56,0.424,77.9,0.79,205.1,8.15,Car_0003
365,43.6,2131,45.2,81.1,150.37,0.338,40.3,0.25,132.7,8.03,Car_0003
370,52.4,2279,42.8,88.3,172.28,0.472,132.8,0.88,193.3,7.48,Car_0003
375,48.0,2125,33.6,88.5,166.66,0.292,73.0,1.12,162.5,7.62,Car_0003
380,56.9,2555,43.6,79.5,137.13,0.539,68.5,0.7,116.5,7.49,Car_0003
385,55.1,2457,40.5,83.5,194.8,0.403,77.8,0.4,150.7,7.7,Car_0003
390,44.6,2146,31.4,84.7,152.37,0.075,48.4,0.84,130.3,7.39,Car_0003
395,52.3,2400,47.6,85.0,148.33,0.527,97.1,0.7,177.3,7.65,Car_0003
400,51.9,2419,41.2,88.8,171.92,0.886,65.6,1.15,212.7,7.12,Car_0003
405,57.3,2580,44.7,79.6,177.69,0.214,76.6,0.27,209.7,6.99,Car_0003
410,47.8,2176,39.8,82.6,171.38,0.546,72.7,0.71,62.4,8.4,Car_0003
415,50.4,2376,42.9,87.2,175.82,0.337,100.4,1.27,187.2,7.6,Car_0003
420,59.8,2634,47.9,86.1,168.66,0.642,69.9,1.04,266.3,8.29,Car_0003
425,51.2,2393,40.5,83.8,154.19,0.179,99.2,0.66,105.7,7.96,Car_0003
430,54.4,2462,38.6,83.8,192.35,0.322,89.1,0.84,126.6,7.08,Car_0003
435,55.3,2427,44.6,90.3,141.4,0.461,103.4,1.05,169.9,8.08,Car_0003
440,56.1,2396,39.4,89.8,166.39,0.811,67.1,1.1,213.1,8.12,Car_0003
445,51.2,2242,41.2,85.7,165.17,0.247,84.9,1.33,139.6,7.97,Car_0003
450,35.8,1922,31.1,84.5,171.49,0.426,116.2,0.83,179.9,7.12,Car_0003
455,41.8,2314,35.8,88.2,166.45,0.136,52.8,0.3,230.0,7.64,Car_0003
460,48.0,2098,35.9,87.0,145.59,0.604,63.9,0.72,165.9,6.51,Car_0003
465,57.2,2518,36.5,86.2,161.19,0.226,87.0,1.16,197.8,7.2,Car_0003
470,45.2,1959,38.7,84.4,167.54,0.604,97.6,0.86,155.1,6.7,Car_0003
475,68.1,3064,56.3,88.7,151.68,0.454,80.5,0.62,272.4,8.43,Car_0003
480,45.7,2130,39.3,82.6,171.49,0.439,98.0,0.91,144.9,7.19,Car_0003
485,61.8,2698,54.5,89.2,165.74,0.304,116.0,0.74,241.5,8.02,Car_0003
490,59.7,2504,43.2,86.6,158.89,0.598,86.9,0.34,153.8,7.29,Car_0003
495,44.9,2139,34.4,91.0,170.58,0.252,105.7,1.07,179.1,7.32,Car_0003
500,66.6,2876,50.1,88.0,155.5,0.679,59.4,0.61,171.2,8.46,Car_0003
505,42.8,2085,24.9,90.1,123.75,0.41,85.0,0.65,213.5,7.99,Car_0003
510,60.0,2712,51.6,86.4,171.12,0.728,78.9,0.08,123.3,8.9,Car_0003
515,45.0,2089,42.2,90.3,172.43,0.49,37.6,1.47,154.5,8.05,Car_0003
520,53.0,2335,42.8,87.1,190.05,0.205,87.9,1.34,157.5,7.78,Car_0003
525,42.7,2244,29.9,89.6,135.33,0.227,84.4,0.47,164.6,6.75,Car_0003
530,53.0,2273,38.9,88.4,136.41,0.571,63.7,1.28,154.8,7.33,Car_0003
535,53.5,2504,32.4,85.8,184.99,0.204,55.6,0.32,169.6,7.15,Car_0003
540,56.5,2345,44.7,87.1,156.2,0.426,60.7,0.53,227.3,8.1,Car_0003
545,56.6,2604,49.2,86.8,175.32,0.447,114.9,0.86,188.7,8.67,Car_0003
550,60.2,2535,52.6,83.9,162.57,0.548,82.8,0.75,146.3,8.21,Car_0003
555,58.4,2484,48.6,89.3,173.42,0.564,89.5,0.98,211.8,8.18,Car_0003
560,50.3,2341,38.6,86.0,170.45,0.455,66.5,0.97,147.8,7.91,Car_0003
565,44.1,2255,39.2,89.2,165.15,0.18,46.6,0.82,160.3,7.63,Car_0003
570,63.5,2745,48.1,89.8,158.19,0.571,92.0,0.64,249.9,7.94,Car_0003
575,55.8,2601,47.4,85.4,161.38,0.533,71.1,0.65,224.6,7.76,Car_0003
580,69.9,2881,53.2,87.2,181.98,0.4,102.4,0.8,211.8,7.97,Car_0003
585,56.7,2501,52.5,86.5,142.68,0.292,66.4,0.99,147.6,7.4,Car_0003
590,54.5,2432,45.0,84.1,161.06,0.666,87.9,0.91,150.7,7.68,Car_0003
595,47.4,2278,43.7,87.3,159.31,0.302,77.6,1.3,147.2,7.69,Car_0003
600,65.1,2744,47.7,89.0,190.23,0.519,79.2,0.78,106.3,8.33,Car_0003
605,54.5,2343,51.6,85.2,166.78,0.26,86.7,0.38,187.0,7.88,Car_0003
610,64.7,2611,51.7,85.6,177.47,0.162,72.2,0.95,194.0,7.39,Car_0003
615,68.2,2852,61.9,86.8,168.4,0.599,71.2,1.46,184.2,8.44,Car_0003
620,54.7,2384,44.8,86.0,151.29,0.481,71.7,1.44,172.1,7.49,Car_0003
625,65.3,2932,46.4,91.8,152.39,0.384,52.2,0.66,142.2,7.87,Car_0003
630,58.1,2529,49.7,88.9,165.08,0.758,83.4,1.16,189.6,7.62,Car_0003
635,50.5,2034,39.9,84.7,163.43,0.706,34.8,1.0,107.2,6.76,Car_0003
640,79.7,3267,51.6,92.2,166.54,0.807,61.5,0.86,213.6,7.62,Car_0003
645,63.3,2780,48.0,89.8,177.37,0.494,102.7,0.99,257.3,8.24,Car_0003
650,71.1,2919,62.7,89.3,174.83,0.712,73.7,0.7,125.2,8.49,Car_0003
655,53.9,2340,43.0,90.2,173.93,0.558,76.4,0.88,142.3,8.57,Car_0003
660,76.7,3042,57.7,84.8,154.9,0.352,86.1,0.85,235.3,8.65,Car_0003
665,65.9,2748,62.7,93.2,155.48,0.624,74.8,0.72,169.1,7.62,Car_0003
670,62.5,2769,59.0,91.2,169.6,0.814,78.4,0.76,139.2,8.68,Car_0003
675,73.3,2902,54.8,94.4,171.51,0.309,73.8,0.97,239.7,8.85,Car_0003
680,78.5,3226,67.7,92.1,162.24,0.472,51.8,1.03,179.5,8.74,Car_0003
685,66.9,2771,53.7,91.4,191.8,0.435,64.4,1.38,196.0,7.95,Car_0003
690,63.8,2799,52.7,88.7,148.26,0.358,102.3,0.93,233.7,7.28,Car_0003
695,62.2,2696,55.2,94.7,170.1,0.348,64.8,0.4,243.6,8.0,Car_0003
700,62.1,2777,58.5,87.5,159.71,0.601,46.2,0.95,219.7,8.16,Car_0003
705,73.3,2999,61.9,92.7,170.29,0.884,97.2,0.72,198.3,8.1,Car_0003
710,77.7,3408,63.5,89.4,177.94,0.586,76.7,0.99,155.1,8.15,Car_0003
715,70.2,2911,59.5,90.3,186.13,0.337,66.4,1.12,200.7,8.43,Car_0003
720,78.3,2965,72.7,89.2,149.31,0.856,116.0,1.25,188.8,8.96,Car_0003
725,73.2,2858,73.8,85.6,198.89,0.613,85.3,0.72,251.2,9.33,Car_0003
730,70.6,2855,55.4,90.7,134.49,0.205,80.2,0.89,175.9,8.14,Car_0003
735,55.6,2430,45.6,89.6,174.37,0.088,111.3,0.17,201.7,7.63,Car_0003
740,77.5,3180,63.6,87.8,144.52,0.55,65.4,0.52,161.3,8.59,Car_0003
745,66.5,2881,52.7,84.3,156.16,0.519,43.4,1.19,186.6,8.15,Car_0003
750,71.1,2998,62.5,86.5,157.77,0.956,37.8,0.5,164.4,8.82,Car_0003
755,72.4,3004,56.0,89.7,154.13,0.417,64.7,0.58,160.0,8.52,Car_0003
760,72.7,2898,58.2,90.1,170.3,0.827,74.7,0.9,223.0,7.92,Car_0003
765,61.7,2514,53.5,88.2,169.96,0.542,84.1,0.99,167.6,8.43,Car_0003
770,75.4,2922,61.6,93.5,222.05,0.549,80.5,0.31,201.9,8.48,Car_0003
775,66.1,2958,56.1,85.9,152.01,0.678,67.3,0.52,131.1,8.13,Car_0003
780,75.4,3143,64.0,93.8,151.49,0.609,87.5,0.31,197.1,7.97,Car_0003
785,72.5,2890,63.6,93.7,164.75,0.438,55.7,0.92,159.3,8.88,Car_0003
790,83.9,3490,79.0,89.3,177.97,0.488,53.4,1.02,159.3,9.29,Car_0003
795,63.7,2690,61.8,89.7,174.71,0.505,97.1,0.72,152.4,7.63,Car_0003
800,58.0,2415,51.7,88.7,151.34,0.665,83.6,0.93,140.8,7.7,Car_0003
805,73.3,2970,66.1,91.3,190.92,0.642,67.2,0.81,292.1,8.98,Car_0003
810,69.1,2945,56.6,88.1,185.3,0.618,98.7,1.32,178.4,8.46,Car_0003
815,77.8,3214,63.0,89.2,198.55,0.453,89.3,0.95,149.8,8.92,Car_0003
820,59.3,2600,55.6,87.6,143.82,0.523,79.6,0.84,195.7,8.12,Car_0003
825,58.2,2652,37.6,88.1,178.96,0.285,51.0,0.57,168.9,8.94,Car_0003
830,57.7,2573,47.1,86.7,145.75,0.248,86.9,1.0,238.4,7.45,Car_0003
835,52.5,2431,46.4,92.7,137.36,0.781,82.6,1.41,172.7,8.44,Car_0003
840,64.6,2952,51.2,84.7,171.94,0.734,105.3,0.78,214.4,8.15,Car_0003
845,79.7,3295,63.9,92.1,169.77,0.807,72.4,0.83,187.1,7.87,Car_0003
850,58.9,2680,52.2,86.9,174.4,0.518,95.4,0.67,189.0,7.39,Car_0003
855,77.5,3177,65.2,96.6,187.18,0.862,86.7,0.65,224.2,8.61,Car_0003
860,65.3,2877,52.9,90.1,169.92,0.215,90.7,1.03,198.1,8.31,Car_0003
865,65.1,2691,51.1,83.9,175.16,0.24,71.1,0.17,163.2,8.44,Car_0003
870,68.0,2843,57.9,84.3,180.93,0.456,80.6,0.93,88.6,8.98,Car_0003
875,64.2,2781,51.8,87.5,187.3,0.268,85.9,0.64,213.3,8.59,Car_0003
880,72.1,3017,57.1,88.7,173.68,0.776,89.4,0.74,209.0,8.86,Car_0003
885,69.8,2985,56.2,92.1,163.18,0.55,91.5,0.4,189.3,8.46,Car_0003
890,67.0,2893,44.2,84.5,182.99,0.619,118.9,0.77,244.3,9.35,Car_0003
895,46.9,2042,36.6,85.2,186.55,0.38,66.0,1.17,194.2,7.27,Car_0003
900,70.2,2815,55.0,93.0,155.01,0.425,70.8,0.63,92.0,7.56,Car_0003
905,65.5,2903,58.0,88.0,166.21,0.204,74.9,0.73,173.1,8.48,Car_0003
910,67.0,2864,66.8,91.2,138.37,0.305,78.8,0.53,185.4,8.94,Car_0003
915,64.0,2599,60.5,89.0,165.82,0.595,90.3,0.58,189.1,8.76,Car_0003
920,72.7,2900,60.7,94.2,164.2,0.285,67.0,0.98,192.5,8.44,Car_0003
925,64.5,2706,56.2,93.6,173.53,0.636,102.5,1.02,235.5,7.14,Car_0003
930,62.2,2705,51.1,87.1,165.14,0.358,86.7,1.0,180.6,8.6,Car_0003
935,57.2,2456,48.1,88.5,180.78,0.456,90.7,1.08,116.7,7.88,Car_0003
940,61.9,2471,51.8,89.1,144.33,0.775,82.5,0.12,163.3,7.9,Car_0003
945,59.5,2508,44.2,90.5,151.66,0.664,89.8,0.87,160.8,8.04,Car_0003
950,60.4,2626,42.3,89.7,132.59,0.486,129.4,0.51,155.1,8.43,Car_0003
955,52.7,2276,42.7,90.2,178.02,0.37,68.0,0.72,147.6,7.91,Car_0003
960,69.9,2812,52.4,89.6,158.94,0.226,53.3,0.24,191.1,7.96,Car_0003
965,72.7,3021,55.5,86.5,161.71,0.255,78.4,1.13,187.8,8.08,Car_0003
970,42.2,1917,35.6,89.5,166.03,0.143,97.5,0.65,90.2,6.85,Car_0003
975,52.3,2362,35.3,92.5,165.19,0.596,108.7,0.71,153.3,8.03,Car_0003
980,43.1,2200,35.6,88.6,147.58,0.167,73.8,0.94,172.6,6.28,Car_0003
985,51.0,2382,51.7,89.5,171.23,0.509,71.9,0.45,142.7,7.03,Car_0003
990,59.8,2678,48.9,88.0,182.14,0.938,45.0,0.97,194.8,8.15,Car_0003
995,61.2,2789,50.4,96.4,149.86,0.654,51.4,0.37,209.7,8.4,Car_0003
